OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,logD
ACVUXKZLPZPVAZ-UHFFFAOYSA-N,CC(=O)NC1=CC(S(=O)(=O)NC2=CC=C(F)C=C2F)=CC2=C1N(CCC1=CC=C(F)C=C1)C=N2,1.5
ACWBQPMHZXGDFX-QFIPXVFZSA-N,CCCCC(=O)N(CC1=CC=C(C2=CC=CC=C2C2=NNN=N2)C=C1)[C@H](C(=O)O)C(C)C,-1.24
ACXGVPVKIDOSSY-FQEVSTJZSA-N,CC1=CC=CC=C1[C@@H]1CCC2=C(C(=O)NC(C)C)C=C3C(=C2O1)N=C(C)N3C,3.1
ACXIBLMKYPMHFC-UHFFFAOYSA-N,CN1N=CC=C1C1=CN(CCCCO)C(CN2C(=O)N(C3CC3)C3=CC=NC=C32)=N1,0.9
ACYKZNPFZJYEDL-BJKOFHAPSA-N,C[C@@H]1CN(C2=CC=C(NC3=CC(C4=CC=NC(N5CCN6C(=CC7=C6CC(C)(C)C7)C5=O)=C4CO)=CN(C)C3=O)N=C2)[C@@H](C)CN1C1COC1,3.5
ACZJULCKNQAJHZ-HUUCEWRRSA-N,O=C(C1CC1)N1[C@@H]2CC[C@@H]1CN(C1=NC(NC3=CN(CCO)N=C3)=NC=C1F)C2,1.78
ACZJULCKNQAJHZ-UHFFFAOYSA-N,O=C(C1CC1)N1C2CCC1CN(C1=NC(NC3=CN(CCO)N=C3)=NC=C1F)C2,1.8
ACZYSEPOODWZET-UHFFFAOYSA-N,CNC1=C(Cl)C(=O)N(C)N=C1,0.4
ADBZGKPOLZHLKI-GFEQUFNTSA-N,COC1=CC=CC=C1C1=CC=C(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)C(Cl)=C1,2.4
ADCUEPOHPCPMCE-UHFFFAOYSA-N,N#CC1=CC=C(C(=O)O)C=C1,1.63
ADCWQMHYOJDFMF-UHFFFAOYSA-N,COC1=CC=C2N=C(C)C=C(OCC(=O)NC3=CC=CC(C)=C3)C2=C1,4.83
ADDFHWGEAOKELS-UHFFFAOYSA-N,C1=CC(CNC2=NC=C(C3=CC=NC=C3)C3=NN=CN23)=C2CCOC2=C1,2.5
ADECQYTURGAKRL-UHFFFAOYSA-N,COC1=CC=C(C2=CN=C(N)C(C3=CC=C(OC)N=C3)=C2)C=N1,2.8
ADEWPQIVNWFIED-UHFFFAOYSA-N,CC1=CC=C(OC2=CC=C3N=C(COC4=CC=CC(C(=O)O)=C4)N(C)C3=N2)C=C1,1.7
ADFNWMJLDNOFFX-UHFFFAOYSA-N,CCS(=O)(=O)C1=CC=C(CC(=O)NC2=CC(C3=CC(C#N)=CC(F)=C3OC)=CS2)C=C1,3.9
ADHOGOCWYMYMBV-UHFFFAOYSA-N,O=C(O)CC(NC(=O)CCCCC1=CC=C2CCCNC2=N1)C1=CC=C(OC(F)(F)F)C=C1,2.85
ADHSJODREJUIPZ-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCC(N2C=CC3=C(N4CCC5=CC(S(C)(=O)=O)=CC=C54)N=CN=C32)CC1,3.2
